relative_audio_path,speaker_id,speaker_label,final_split,filename_group,duplicate_group,manifest_version
2/aug_train-00061-of-00803_1000.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1003.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1005.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1006.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1007.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1012.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1013.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1014.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1015.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1017.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1018.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1020.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1030.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1036.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1037.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1039.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1040.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1041.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1044.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1048.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1050.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1054.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1055.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1058.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1059.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1062.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1063.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1064.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1066.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1072.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1074.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1075.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1077.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1078.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1083.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1087.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1088.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1089.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1093.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1094.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1096.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1103.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1104.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1105.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1107.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1108.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1109.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1111.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1112.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1113.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1118.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1119.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1120.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1123.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1124.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1126.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1127.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1130.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1131.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1133.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1135.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1138.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1140.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1142.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1143.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1148.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1149.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1152.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1156.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1157.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1158.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1159.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1163.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_1165.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_778.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_780.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_783.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_784.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_787.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_791.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_792.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_795.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_800.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_806.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_809.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_813.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_814.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_818.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_819.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_821.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_824.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_825.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_826.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_828.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_829.wav,2,0,train,train,,v2
2/aug_train-00061-of-00803_831.wav,2,0,train,train,,v2
