relative_audio_path,speaker_id,speaker_label,final_split
3/3_1.wav,3,0,train
3/3_14.wav,3,0,train
3/3_14_rev.wav,3,0,train
3/3_15.wav,3,0,train
3/3_16.wav,3,0,train
3/3_17.wav,3,0,train
3/3_18.wav,3,0,train
3/3_1_noise.wav,3,0,train
3/3_2.wav,3,0,train
3/3_20.wav,3,0,train
3/3_21.wav,3,0,train
3/3_21_noise.wav,3,0,train
3/3_21_rev.wav,3,0,train
3/3_22_rev.wav,3,0,train
3/3_23.wav,3,0,train
3/3_23_noise.wav,3,0,train
3/3_23_rev.wav,3,0,train
3/3_24.wav,3,0,train
3/3_24_noise.wav,3,0,train
3/3_24_rev.wav,3,0,train
3/3_25_noise.wav,3,0,train
3/3_26.wav,3,0,train
3/3_26_noise.wav,3,0,train
3/3_26_rev.wav,3,0,train
3/3_27_noise.wav,3,0,train
3/3_27_rev.wav,3,0,train
3/3_29.wav,3,0,train
3/3_29_noise.wav,3,0,train
3/3_2_rev.wav,3,0,train
3/3_3.wav,3,0,train
3/3_30_noise.wav,3,0,train
3/3_30_rev.wav,3,0,train
3/3_31.wav,3,0,train
3/3_31_noise.wav,3,0,train
3/3_31_rev.wav,3,0,train
3/3_32_rev.wav,3,0,train
3/3_33.wav,3,0,train
3/3_34.wav,3,0,train
3/3_35.wav,3,0,train
3/3_36.wav,3,0,train
3/3_37.wav,3,0,train
3/3_37_rev.wav,3,0,train
3/3_38.wav,3,0,train
3/3_39.wav,3,0,train
3/3_3_noise.wav,3,0,train
3/3_4.wav,3,0,train
3/3_40.wav,3,0,train
3/3_43.wav,3,0,train
3/3_44.wav,3,0,train
3/3_44_noise.wav,3,0,train
3/3_44_rev.wav,3,0,train
3/3_45.wav,3,0,train
3/3_45_noise.wav,3,0,train
3/3_45_rev.wav,3,0,train
3/3_46_rev.wav,3,0,train
3/3_47.wav,3,0,train
3/3_48_noise.wav,3,0,train
3/3_49_noise.wav,3,0,train
3/3_50.wav,3,0,train
3/3_50_noise.wav,3,0,train
3/3_52.wav,3,0,train
3/3_53.wav,3,0,train
3/3_53_noise.wav,3,0,train
3/3_55_rev.wav,3,0,train
3/3_56_rev.wav,3,0,train
3/3_58_noise.wav,3,0,train
3/3_58_rev.wav,3,0,train
3/3_59_noise.wav,3,0,train
3/3_59_rev.wav,3,0,train
3/3_5_noise.wav,3,0,train
3/3_5_rev.wav,3,0,train
3/3_60_noise.wav,3,0,train
3/3_60_rev.wav,3,0,train
