relative_audio_path,speaker_id,speaker_label,final_split,filename_group
augmented_dataset/1/aug_train-00032-of-00803_1194.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1196.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1198.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1201.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1207.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1220.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1222.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1226.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1240.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1242.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1245.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1246.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1252.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1261.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1262.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1264.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1271.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1273.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1276.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1282.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1289.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1290.wav,1,0,train,train
augmented_dataset/1/aug_train-00032-of-00803_1296.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_10.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_113.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_114.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_116.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_130.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_135.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_140.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_158.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_160.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_162.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_163.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_164.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_165.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_168.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_169.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_176.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_179.wav,1,0,train,train
augmented_dataset/1/aug_train-00033-of-00803_182.wav,1,0,train,train
